Indicator,2020,2021,2022
AfghanistanDeaths,53.222,125.628,11.351
AfghanistanCases,1272.396,2571.295,1096.294
AfghanistanGDP,1803.987,1803.987,1803.987
AlbaniaDeaths,411.629,718.42,134.051
AlbaniaCases,20107.016,53390.583,43649.938
AlbaniaGDP,11803.431,11803.431,11803.431
AlgeriaDeaths,60.949,78.331,13.964
AlgeriaCases,2207.076,2641.984,1192.888
AlgeriaGDP,13913.839,13913.839,13913.839
AndorraDeaths,1039.553,701.391,225.448
AndorraCases,97954.988,181744.17,303132.397
AndorraGDP,,,
AngolaDeaths,11.264,37.891,4.716
AngolaCases,1145.664,1534.272,881.701
AngolaGDP,5819.495,5819.495,5819.495
AnguillaDeaths,0,377.904,440.888
AnguillaCases,692.825,102979.154,139824.903
AnguillaGDP,,,
Antigua and BarbudaDeaths,53.32,1205.039,298.594
Antigua and BarbudaCases,1652.936,43328.48,52147.76
Antigua and BarbudaGDP,21490.943,21490.943,21490.943
ArgentinaDeaths,929.787,1640.625,285.645
ArgentinaCases,34362.867,84927.808,94233.323
ArgentinaGDP,18933.907,18933.907,18933.907
ArmeniaDeaths,961.631,1887.457,283.053
ArmeniaCases,55632,68116.126,36278.735
ArmeniaGDP,8787.58,8787.58,8787.58
ArubaDeaths,451.949,1249.297,1042.656
ArubaCases,48753.796,110314.756,255732.253
ArubaGDP,35973.781,35973.781,35973.781
AustraliaDeaths,35.628,47.363,497.865
AustraliaCases,1425.838,8653.044,386432.658
AustraliaGDP,44648.71,44648.71,44648.71
AustriaDeaths,711.178,1136.968,504.047
AustriaCases,38576.267,101823.948,463333.163
AustriaGDP,45436.686,45436.686,45436.686
AzerbaijanDeaths,214.806,586.904,170.703
AzerbaijanCases,27264.15,40292.708,20650.159
AzerbaijanGDP,15847.419,15847.419,15847.419
BahamasDeaths,401.547,1339.048,292.687
BahamasCases,18881.07,37330.27,35032.65
BahamasGDP,27717.847,27717.847,27717.847
BahrainDeaths,236.345,710.461,87.6
BahrainCases,60880.648,128211.698,276721.751
BahrainGDP,43290.705,43290.705,43290.705
BangladeshDeaths,45.496,122.355,7.973
BangladeshCases,6379.515,6353.732,2640.899
BangladeshGDP,3523.984,3523.984,3523.984
BarbadosDeaths,25.028,873.46,1090.05
BarbadosCases,1056.798,94167.862,269114.409
BarbadosGDP,16978.068,16978.068,16978.068
BelarusDeaths,131.515,421.866,193.186
BelarusCases,19499.329,54157.465,33488.776
BelarusGDP,17167.967,17167.967,17167.967
BelgiumDeaths,1527.902,841.809,449.724
BelgiumCases,51510.042,114051.454,226987.347
BelgiumGDP,42658.576,42658.576,42658.576
BelizeDeaths,464.909,1004.217,246.736
BelizeCases,24875.776,54845.358,93455.234
BelizeGDP,7824.362,7824.362,7824.362
BeninDeaths,5.767,8.764,0.15
BeninCases,365.503,1633.132,216.06
BeninGDP,2064.236,2064.236,2064.236
BermudaDeaths,140.174,1510.743,654.141
BermudaCases,5139.636,84570.23,194059.839
BermudaGDP,50669.315,50669.315,50669.315
BhutanDeaths,15.575,3.834,23.004
BhutanCases,3791.62,2823.136,75983.726
BhutanGDP,8708.597,8708.597,8708.597
BoliviaDeaths,735.834,838.664,244.604
BoliviaCases,12271.85,32649.075,46132.496
BoliviaGDP,6885.829,6885.829,6885.829
Bosnia and HerzegovinaDeaths,886.04,3044.355,1067.263
Bosnia and HerzegovinaCases,32430.664,57038.286,37596.061
Bosnia and HerzegovinaGDP,11713.895,11713.895,11713.895
BotswanaDeaths,24.986,906.74,140.663
BotswanaCases,4754.092,69866.933,49814.47
BotswanaGDP,15807.374,15807.374,15807.374
BrazilDeaths,811.44,2047.33,329.769
BrazilCases,30018.782,72253.027,58334.975
BrazilGDP,14103.452,14103.452,14103.452
BruneiDeaths,6.681,209.343,285.07
BruneiCases,334.07,33202.511,473752.894
BruneiGDP,71809.251,71809.251,71809.251
BulgariaDeaths,562.363,3614.148,1385
BulgariaCases,50604.106,81081.335,83618.216
BulgariaGDP,18563.307,18563.307,18563.307
Burkina FasoDeaths,29.535,9.385,4.674
Burkina FasoCases,3151.78,568.704,261.095
Burkina FasoGDP,1703.102,1703.102,1703.102
BurundiDeaths,0.078,2.872,0
BurundiCases,52.836,1528.749,2307.522
BurundiGDP,702.225,702.225,702.225
