Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burundi,BDI,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Benin,BEN,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3
Bhutan,BTN,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Cote d'Ivoire,CIV,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3.5
Cameroon,CMR,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Congo, Dem. Rep.",COD,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3
"Congo, Rep.",COG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Comoros,COM,3,3,3,3,3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3
Cabo Verde,CPV,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,4
Djibouti,DJI,3,3,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5
Dominica,DMA,4.5,4,3.5,3.5,3.5,3,3.5,3,3,3,3,3,3,3,3,3,3
Eritrea,ERI,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,2.5,2.5,3,3,3,3
Ethiopia,ETH,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5,3.5,3
Ghana,GHA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guinea,GIN,4,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3
"Gambia, The",GMB,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Guinea-Bissau,GNB,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2
Grenada,GRD,4.5,5,5,5,4.5,4.5,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Guyana,GUY,3.5,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
Honduras,HND,4,4,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Haiti,HTI,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5
Kenya,KEN,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Kyrgyz Republic,KGZ,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Cambodia,KHM,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Kiribati,KIR,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3.5,3
Lao PDR,LAO,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
St. Lucia,LCA,4.5,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
Lesotho,LSO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Madagascar,MDG,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
Maldives,MDV,4,4,4,4,4,4,4,4.5,4.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5
Mali,MLI,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.5,2.5,2.5,3,3
Mozambique,MOZ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Mauritania,MRT,3.5,3.5,4,4,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Malawi,MWI,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Niger,NER,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3
Nigeria,NGA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Nicaragua,NIC,4,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4
Nepal,NPL,3,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,3.5,3.5,3.5,3.5
Pakistan,PAK,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Papua New Guinea,PNG,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Rwanda,RWA,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Sudan,SDN,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Senegal,SEN,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Solomon Islands,SLB,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Sierra Leone,SLE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Sao Tome and Principe,STP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Chad,TCD,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Togo,TGO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5,3.5
Tajikistan,TJK,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Tonga,TON,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tanzania,TZA,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3
Uganda,UGA,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
Uzbekistan,UZB,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4.5
St. Vincent and the Grenadines,VCT,4.5,4.5,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Vanuatu,VUT,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
World,WLD,3.473684211,3.442307692,3.433333333,3.433333333,3.428571429,3.435064935,3.397435897,3.36875,3.358024691,3.322368421,3.309210526,3.239726027,3.216216216,3.239726027,3.253333333,3.260273973,3.270833333
Samoa,WSM,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
"Yemen, Rep.",YEM,2.5,2.5,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Zambia,ZMB,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3
Zimbabwe,ZWE,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,4,4,4,4,4,4,4,4
