Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,AGO,0.06676971,0.41370265,0.37108301,0.36243233,0.96102248,1.64834899,4.08852934,2.5050359,3.37496332,4.59279096,3.13921639,3.49376487,2.6580635,3.6848953,4.17342399,2.89951444,3.46411244,3.56128194,2.91132411,2.26137979
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,0.21708248,1.35509441,4.40387097,0.90086143,19.6027174,4.64462293,1.48688927,1.31238196,6.9103056,2.26170977,3.11258032,7.01188904,7.12936365,6.33962179,6.79630336,4.34729648,3.55937126,6.63558865,3.41266983,2.37137492
Armenia,ARM,3.33912288,5.81030673,4.72940769,3.49179247,3.93756253,11.24964281,14.61111631,21.08778635,15.68271044,11.60317493,11.08320307,10.41331282,9.95701183,8.21112134,6.20558302,3.95229406,6.6882047,5.22124917,5.13826809,5.21521976
Antigua and Barbuda,ATG,1.78778162,0.4117145,0.75422824,0,0.25239121,0.97180261,0.90519649,0.9910354,1.26437428,0.16350725,0.89335098,0.37048839,0,1.67370737,0,0,0.1054827,0.17131075,0.78491873,0.35330827
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,0.38194797,0.23942729,0.17145008,0.6303455,0.49192936,0.3140532,0.85795404,1.29575825,1.37620177,1.56282498,2.16400866,2.44265288,4.03589397,1.88887461,2.73262226,1.88291492,0.79745641,1.04062967,1.10635632,0.58317973
Burundi,BDI,0.05978956,1.71447792,1.24786229,1.28805114,2.37769658,3.62933779,4.57120903,4.79302514,5.38153203,7.90206493,11.33211631,6.71076809,6.18675418,9.53805467,2.49720643,1.92019896,7.00368557,7.2493287,7.30407801,5.2763075
Benin,BEN,2.66300172,2.86665288,3.22409654,4.31327319,4.95464653,4.89072187,5.09228891,6.9871776,7.87469103,6.76974596,7.99945414,9.04989209,14.16935487,9.09736367,9.84920765,10.71770635,9.10350812,5.79766576,9.33565419,7.08867711
